#tktwine128_kb 27 Rounds
connection relations
k_1_28, k_0_1, k_0_0
k_1_0, k_0_4, k_0_16
k_1_19, k_0_23, k_0_30
k_1_31, k_0_0
k_1_29, k_0_2
k_1_30, k_0_3
k_1_1, k_0_5
k_1_2, k_0_6
k_1_3, k_0_7
k_1_4, k_0_8
k_1_5, k_0_9
k_1_6, k_0_10
k_1_7, k_0_11
k_1_8, k_0_12
k_1_9, k_0_13
k_1_10, k_0_14
k_1_11, k_0_15
k_1_12, k_0_16
k_1_13, k_0_17
k_1_14, k_0_18
k_1_15, k_0_19
k_1_16, k_0_20
k_1_17, k_0_21
k_1_18, k_0_22
k_1_20, k_0_24
k_1_21, k_0_25
k_1_22, k_0_26
k_1_23, k_0_27
k_1_24, k_0_28
k_1_25, k_0_29
k_1_26, k_0_30
k_1_27, k_0_31
k_2_28, k_1_1, k_1_0
k_2_0, k_1_4, k_1_16
k_2_19, k_1_23, k_1_30
k_2_31, k_1_0
k_2_29, k_1_2
k_2_30, k_1_3
k_2_1, k_1_5
k_2_2, k_1_6
k_2_3, k_1_7
k_2_4, k_1_8
k_2_5, k_1_9
k_2_6, k_1_10
k_2_7, k_1_11
k_2_8, k_1_12
k_2_9, k_1_13
k_2_10, k_1_14
k_2_11, k_1_15
k_2_12, k_1_16
k_2_13, k_1_17
k_2_14, k_1_18
k_2_15, k_1_19
k_2_16, k_1_20
k_2_17, k_1_21
k_2_18, k_1_22
k_2_20, k_1_24
k_2_21, k_1_25
k_2_22, k_1_26
k_2_23, k_1_27
k_2_24, k_1_28
k_2_25, k_1_29
k_2_26, k_1_30
k_2_27, k_1_31
k_3_28, k_2_1, k_2_0
k_3_0, k_2_4, k_2_16
k_3_19, k_2_23, k_2_30
k_3_31, k_2_0
k_3_29, k_2_2
k_3_30, k_2_3
k_3_1, k_2_5
k_3_2, k_2_6
k_3_3, k_2_7
k_3_4, k_2_8
k_3_5, k_2_9
k_3_6, k_2_10
k_3_7, k_2_11
k_3_8, k_2_12
k_3_9, k_2_13
k_3_10, k_2_14
k_3_11, k_2_15
k_3_12, k_2_16
k_3_13, k_2_17
k_3_14, k_2_18
k_3_15, k_2_19
k_3_16, k_2_20
k_3_17, k_2_21
k_3_18, k_2_22
k_3_20, k_2_24
k_3_21, k_2_25
k_3_22, k_2_26
k_3_23, k_2_27
k_3_24, k_2_28
k_3_25, k_2_29
k_3_26, k_2_30
k_3_27, k_2_31
k_4_28, k_3_1, k_3_0
k_4_0, k_3_4, k_3_16
k_4_19, k_3_23, k_3_30
k_4_31, k_3_0
k_4_29, k_3_2
k_4_30, k_3_3
k_4_1, k_3_5
k_4_2, k_3_6
k_4_3, k_3_7
k_4_4, k_3_8
k_4_5, k_3_9
k_4_6, k_3_10
k_4_7, k_3_11
k_4_8, k_3_12
k_4_9, k_3_13
k_4_10, k_3_14
k_4_11, k_3_15
k_4_12, k_3_16
k_4_13, k_3_17
k_4_14, k_3_18
k_4_15, k_3_19
k_4_16, k_3_20
k_4_17, k_3_21
k_4_18, k_3_22
k_4_20, k_3_24
k_4_21, k_3_25
k_4_22, k_3_26
k_4_23, k_3_27
k_4_24, k_3_28
k_4_25, k_3_29
k_4_26, k_3_30
k_4_27, k_3_31
k_5_28, k_4_1, k_4_0
k_5_0, k_4_4, k_4_16
k_5_19, k_4_23, k_4_30
k_5_31, k_4_0
k_5_29, k_4_2
k_5_30, k_4_3
k_5_1, k_4_5
k_5_2, k_4_6
k_5_3, k_4_7
k_5_4, k_4_8
k_5_5, k_4_9
k_5_6, k_4_10
k_5_7, k_4_11
k_5_8, k_4_12
k_5_9, k_4_13
k_5_10, k_4_14
k_5_11, k_4_15
k_5_12, k_4_16
k_5_13, k_4_17
k_5_14, k_4_18
k_5_15, k_4_19
k_5_16, k_4_20
k_5_17, k_4_21
k_5_18, k_4_22
k_5_20, k_4_24
k_5_21, k_4_25
k_5_22, k_4_26
k_5_23, k_4_27
k_5_24, k_4_28
k_5_25, k_4_29
k_5_26, k_4_30
k_5_27, k_4_31
k_6_28, k_5_1, k_5_0
k_6_0, k_5_4, k_5_16
k_6_19, k_5_23, k_5_30
k_6_31, k_5_0
k_6_29, k_5_2
k_6_30, k_5_3
k_6_1, k_5_5
k_6_2, k_5_6
k_6_3, k_5_7
k_6_4, k_5_8
k_6_5, k_5_9
k_6_6, k_5_10
k_6_7, k_5_11
k_6_8, k_5_12
k_6_9, k_5_13
k_6_10, k_5_14
k_6_11, k_5_15
k_6_12, k_5_16
k_6_13, k_5_17
k_6_14, k_5_18
k_6_15, k_5_19
k_6_16, k_5_20
k_6_17, k_5_21
k_6_18, k_5_22
k_6_20, k_5_24
k_6_21, k_5_25
k_6_22, k_5_26
k_6_23, k_5_27
k_6_24, k_5_28
k_6_25, k_5_29
k_6_26, k_5_30
k_6_27, k_5_31
k_7_28, k_6_1, k_6_0
k_7_0, k_6_4, k_6_16
k_7_19, k_6_23, k_6_30
k_7_31, k_6_0
k_7_29, k_6_2
k_7_30, k_6_3
k_7_1, k_6_5
